Area,Bedrooms,Bathrooms,Location,Age,Garage,Price
3334,5,2,Location5,22,2,900545.7964551531
3605,5,1,Location2,5,1,589475.8730799967
1162,4,3,Location2,110,2,411179.1028341195
2499,2,1,Location3,15,0,556422.8306312623
4238,1,2,Location4,21,0,891312.2212954266
1867,1,1,Location2,89,0,387612.0830726735
3479,3,3,Location3,17,0,719332.6499848407
2128,1,2,Location1,56,0,277019.10248360236
3802,4,1,Location5,50,1,911365.2853370912
4156,5,1,Location4,7,2,982303.3474303526
4490,5,3,Location3,118,2,973797.6127162802
1246,5,1,Location1,50,1,283484.88989329815
2668,2,3,Location5,60,1,722688.5815639474
3488,1,2,Location1,83,1,612011.9963365465
2814,4,2,Location3,116,2,620944.7961413686
1897,2,1,Location2,7,2,368931.3534376516
3035,3,2,Location5,40,0,723869.4675061941
1200,4,2,Location1,45,2,261781.9157550395
2963,4,1,Location2,59,2,597680.9233997077
2661,4,2,Location4,114,1,660868.6599249775
841,5,1,Location3,88,2,225586.6431843259
2641,4,3,Location3,75,0,504191.9593306873
3424,1,3,Location5,105,2,902188.0420994766
4017,4,3,Location1,55,1,646518.9559369968
3212,5,1,Location4,64,1,757860.7501271972
3545,4,1,Location5,65,0,853989.1768394369
1963,3,2,Location5,54,0,496541.2337081197
2739,3,2,Location1,96,2,524702.8900210279
1990,5,2,Location4,40,0,437128.5102878156
3603,1,2,Location1,53,0,684626.4832737854
2078,1,2,Location3,44,1,591847.8900425793
4099,2,1,Location2,63,1,812064.7564127286
3156,5,1,Location3,2,2,644887.4533244709
1375,4,3,Location3,79,2,248239.61199069966
634,5,3,Location5,21,2,310280.1936995664
2853,2,3,Location3,88,2,552599.3782374971
3752,5,3,Location4,50,1,838382.038692756
2555,5,1,Location3,81,2,641977.0977912837
2185,2,1,Location4,111,2,597843.0991431342
4059,1,1,Location1,52,0,751193.2853987238
3673,4,2,Location5,116,2,896762.7262780755
1621,2,2,Location4,9,0,455720.98715937836
4061,3,3,Location3,99,1,729951.8637786126
3213,1,2,Location5,20,2,715412.2735050283
1729,3,1,Location5,83,0,435536.21968114935
4443,1,3,Location4,18,2,1025241.8399648487
4493,4,3,Location4,84,0,960010.3859982688
2100,4,2,Location2,30,2,492672.91940541763
1302,5,3,Location2,104,1,257824.25842655773
3049,3,2,Location5,65,1,756271.5708376659
3377,1,2,Location2,24,0,657431.1185195808
2179,4,3,Location3,88,0,526618.2269831722
761,2,2,Location1,47,1,167931.9667821051
801,4,2,Location5,83,2,295699.123941238
2581,2,2,Location1,94,0,372832.9491024205
1595,1,2,Location2,90,1,330740.77278692625
2917,4,3,Location4,106,0,724662.9599995979
1415,4,1,Location5,44,1,395613.4631508027
3942,1,1,Location2,102,1,676569.3739994076
1055,4,2,Location3,29,0,325595.3724362713
4133,2,2,Location5,77,0,1072854.4310830452
4398,4,2,Location5,68,1,1149619.5213760138
1875,3,1,Location4,109,2,476092.1305950385
1616,5,2,Location5,17,1,510829.1548849431
4373,2,3,Location4,97,2,1045634.477959544
2943,3,3,Location2,5,2,609199.8349165214
4396,1,3,Location3,92,2,911497.738972414
3367,2,1,Location3,88,0,657639.6241346541
4420,5,2,Location5,81,1,1168790.7395945909
937,5,2,Location5,50,1,360107.6831445248
1478,1,2,Location2,103,2,310410.4711401823
1676,1,1,Location4,112,2,381981.3090573465
1391,2,1,Location3,40,2,251359.54948595644
2864,4,1,Location4,108,1,573105.9576905129
1363,1,1,Location2,46,2,268315.52413549117
2835,4,3,Location3,51,1,668172.3643479614
979,3,1,Location3,11,1,286941.66144698946
1092,5,1,Location1,12,0,181619.85004795343
3712,4,1,Location2,13,2,666738.120175819
1780,5,2,Location2,64,2,414832.1518708979
2662,4,2,Location1,8,2,582013.7924599795
4484,3,2,Location4,65,0,911842.0048026098
664,1,3,Location1,9,2,213466.84033809317
3168,3,3,Location2,92,1,591704.4030253438
1967,1,1,Location4,2,2,463832.07455477555
1752,1,2,Location3,78,1,337856.5780361973
2627,5,3,Location1,13,1,527814.7882521542
3295,3,2,Location4,112,1,713838.5048084862
2095,4,3,Location4,2,1,519336.52860544686
3734,3,3,Location4,68,2,899338.4141363507
1762,5,1,Location1,76,0,389005.2258781754
2122,1,1,Location3,48,0,412957.0725861002
3240,5,3,Location4,74,1,770302.9772600753
991,2,1,Location1,3,2,276603.32772826357
2298,2,3,Location2,68,0,450121.4073060818
1018,4,3,Location1,6,2,292500.2431686779
2936,5,2,Location1,87,0,503031.85979500576
978,4,1,Location1,5,1,213791.80355081256
2396,4,1,Location4,114,1,513326.91229131503
4161,2,1,Location1,3,1,784389.720740638
2878,4,2,Location2,10,0,541732.013702638
3665,2,2,Location4,43,2,784907.1147626669
2688,1,2,Location2,19,1,473443.06084606046
3699,5,1,Location5,14,2,915863.7948673479
2782,4,1,Location1,21,2,456932.4758373469
800,2,1,Location4,43,1,211164.49823990444
2463,3,2,Location4,28,0,618564.8421526279
1379,4,2,Location1,21,1,318765.8205517424
3577,1,3,Location3,36,1,672210.1809482775
3704,1,2,Location3,24,0,782305.2000665945
3719,3,3,Location2,54,2,720346.4085209996
1102,2,1,Location1,38,0,284598.0618029172
3054,4,2,Location1,17,0,610959.4741383949
4245,2,1,Location5,22,1,912320.2970952736
2351,1,1,Location3,83,0,523859.518065986
1404,2,1,Location3,45,0,408380.59620792116
2746,1,1,Location1,118,0,470222.44995805103
3331,2,2,Location2,74,2,673257.8526193671
2495,3,1,Location1,61,2,466178.492097278
3373,5,3,Location2,11,1,718464.2371964295
2170,3,2,Location3,61,1,505390.50321476243
1560,3,1,Location5,38,2,343297.3816484956
4410,5,2,Location4,66,0,959293.8966312535
3260,5,3,Location3,33,1,697557.3893477716
2085,4,1,Location2,43,1,467538.2152320885
3290,4,3,Location1,31,0,639622.3171382471
4440,3,1,Location3,112,0,858088.4925999553
1628,3,3,Location5,35,0,395156.19067305693
3889,1,1,Location2,37,0,720311.7839890675
1102,1,2,Location1,47,0,189862.59086126013
3414,4,1,Location4,111,2,739010.948253567
997,4,2,Location2,100,0,362809.59396178875
1470,1,1,Location1,23,1,253853.72478773282
3442,1,1,Location4,36,2,688730.260356924
992,2,3,Location1,40,1,263178.6549104248
806,2,3,Location4,103,0,281754.50809623406
1638,1,3,Location4,90,1,458499.3746614685
2481,2,1,Location4,89,0,599003.572956305
4225,5,1,Location1,81,1,721310.3183926042
3539,4,1,Location4,15,1,806070.5265857584
2084,4,2,Location2,37,0,478353.993146141
4362,1,2,Location5,109,1,1085937.7256903418
4246,3,1,Location5,4,2,951151.6759950317
1463,1,3,Location4,22,1,360638.397701439
3390,2,3,Location5,81,2,865488.6206695973
3912,3,3,Location5,22,2,973368.3199501551
1163,2,1,Location4,81,1,222120.60278178792
1620,5,3,Location4,78,2,420668.6207715925
695,2,1,Location2,78,2,210813.20928954278
2523,5,2,Location3,17,1,568721.7722965139
2357,5,3,Location1,72,0,422962.9027346857
3132,2,2,Location4,98,0,808855.4025490728
4078,2,3,Location4,90,2,906025.4320520567
2878,5,1,Location5,109,2,734820.4499301387
3396,3,1,Location2,94,0,633780.2448021321
2278,5,1,Location5,86,2,611715.3364473743
3842,4,1,Location4,80,0,838696.3229909772
1140,5,3,Location4,94,1,238717.71049729566
1659,3,2,Location5,80,2,418439.7583672148
3172,4,1,Location4,38,1,707369.1341880069
1783,1,3,Location3,118,0,435783.9830581645
2322,1,2,Location1,24,0,399456.4099909584
3914,3,1,Location1,100,1,613531.188589677
3757,5,2,Location1,99,2,703886.1491061081
2419,2,1,Location3,6,1,592110.6628141347
3225,3,2,Location4,68,1,654730.6438116735
3329,4,2,Location5,82,2,830160.3426481816
3204,4,1,Location2,6,0,479059.57182691223
2197,1,3,Location4,26,1,517987.99592471286
3660,4,2,Location3,101,1,848877.7114610663
3293,3,1,Location3,91,0,670633.3201679871
1395,4,2,Location1,41,1,227276.0898640777
1651,3,2,Location4,75,0,345122.3716340984
2243,2,3,Location1,38,2,382258.1990669705
4227,1,2,Location2,80,0,729211.1867336005
1963,4,2,Location1,83,0,273850.9861154287
4469,3,1,Location2,43,1,836172.0708911028
2581,5,1,Location3,53,0,582541.5329489002
1954,1,3,Location1,15,0,349789.6053555288
2263,2,2,Location1,90,1,512936.03225794964
2129,3,2,Location5,56,0,526808.2969918858
2638,2,2,Location3,105,1,618259.9226446496
4019,2,3,Location5,56,2,900996.9025654452
2096,4,2,Location2,31,0,449145.268362509
3902,4,1,Location2,83,2,757676.5318753329
2837,3,3,Location3,57,0,570122.2453558054
3896,5,1,Location2,51,0,734669.113403665
2008,3,1,Location3,24,2,427545.79756558465
2000,5,3,Location2,58,2,429948.2372183701
1906,2,1,Location4,73,1,443636.5985576377
3280,1,2,Location1,87,1,488288.8613673203
3275,3,3,Location4,4,2,796745.4819223788
1572,3,1,Location3,10,0,397519.1574762088
2368,5,2,Location3,63,1,514900.2151389588
1882,2,2,Location4,73,0,463903.8020222276
4030,2,1,Location1,83,1,623551.7525578984
1309,5,2,Location1,15,1,228933.9602184121
2079,2,3,Location5,115,1,521873.2362851514
2034,4,1,Location2,98,2,459525.02351616044
1248,1,2,Location5,106,0,337100.5581944204
917,3,2,Location1,63,2,203065.41560412795
4348,1,1,Location4,19,1,952678.752479873
3896,3,1,Location2,113,2,678930.724413221
4490,4,1,Location4,63,2,925309.0123410701
1857,2,1,Location5,116,2,469045.8885860224
1283,5,3,Location3,56,0,295573.4577158494
1263,4,1,Location4,21,2,304431.5836676821
2598,1,3,Location5,34,2,713865.2523333492
4498,5,3,Location5,115,2,1192210.3231385853
4045,2,1,Location5,17,2,885063.3813424972
4343,4,3,Location3,18,2,886753.3125317942
2231,5,1,Location3,81,2,516239.0694375988
2095,4,1,Location3,66,2,393165.7434042637
3904,4,2,Location2,51,1,727490.0298890948
4363,2,1,Location3,65,2,868074.6645237657
1736,3,2,Location3,43,2,444286.0450429824
2453,5,3,Location3,57,0,509895.42920181097
2120,2,2,Location4,10,1,490214.17651749565
3089,4,3,Location3,37,2,727665.5401110881
1163,2,1,Location2,48,0,280230.18110873044
1891,3,3,Location5,69,2,564716.6819329106
4181,5,3,Location4,56,2,864455.0724035379
4478,3,1,Location1,119,2,712003.585096587
4057,1,3,Location3,76,2,905529.2351120226
4058,5,1,Location5,36,2,979134.9824902365
3784,3,2,Location5,31,0,893745.7395725498
2236,4,1,Location4,55,2,544227.3417963958
4296,5,1,Location1,38,0,800339.7175369977
3599,5,3,Location2,115,2,664544.3907673324
3752,2,2,Location5,73,0,912829.12420614
1298,4,1,Location5,108,1,386632.90296937694
2760,1,2,Location5,90,2,615169.5309699468
601,3,2,Location5,15,1,230559.3260262847
1241,2,3,Location4,16,1,313509.44684736116
2867,3,1,Location1,77,1,437147.6355554023
2189,1,3,Location5,89,2,633358.6594655231
1454,1,1,Location2,94,1,243504.36577915927
2359,5,2,Location2,53,0,517604.2113035525
3896,1,1,Location3,56,2,743735.2634310264
3032,3,1,Location5,7,1,815414.67958886
4074,4,2,Location5,57,2,964973.3554445265
2261,4,2,Location5,55,1,611152.8787438924
1753,5,1,Location5,52,0,445879.9617409708
1676,3,3,Location5,4,2,385736.8080942401
2307,3,1,Location2,43,2,388401.94666558754
3377,1,2,Location1,40,1,483846.94727094634
2295,3,3,Location1,102,0,430701.22335670085
2333,2,2,Location3,30,2,522186.8818064894
2039,1,2,Location2,10,1,449548.98835718294
2894,2,3,Location5,94,0,671388.5976435591
1435,5,2,Location1,103,0,183325.1350565832
4110,4,2,Location4,7,0,974653.9714224009
802,5,2,Location4,36,0,315972.05273511
3855,4,2,Location4,35,2,894960.3992732323
722,5,2,Location5,88,2,339379.7302436541
1000,3,2,Location5,39,0,308968.44199736946
1366,2,2,Location3,36,1,352354.84766418906
893,4,2,Location3,109,1,220262.28154726027
2927,1,2,Location3,20,0,553245.0858607887
3531,2,1,Location4,49,0,689166.9364073736
4281,1,1,Location5,96,1,943243.9446310994
797,2,2,Location4,59,0,375509.5644833004
3629,2,1,Location3,103,0,642774.3314591239
2530,5,3,Location5,49,2,632984.9709875734
4182,4,1,Location2,90,2,786103.1014521818
3399,4,2,Location1,26,0,710602.7854862065
2791,2,2,Location1,36,0,435845.58738646086
1208,3,1,Location3,43,2,285416.50329927925
3872,3,2,Location4,99,0,875871.2471253058
1747,1,3,Location2,43,2,414526.0090855031
786,1,3,Location5,99,2,242501.92311009121
3997,5,2,Location4,76,1,851959.925687
3111,2,3,Location3,33,2,694023.0267023743
4020,1,3,Location4,100,1,862309.2601048952
2394,1,1,Location3,78,1,518062.6180114408
1259,2,3,Location1,97,2,265742.8599479151
3411,5,1,Location1,110,0,598016.52872138
3602,1,2,Location4,45,2,828610.764969324
2555,5,1,Location2,45,1,417246.24457376706
3050,4,2,Location5,88,2,742565.1098958021
1969,5,2,Location3,15,2,494944.87739173207
2586,3,2,Location5,95,1,689428.934516045
2134,3,2,Location1,17,2,396460.98151003546
746,5,2,Location2,12,2,144778.4964364299
3819,3,1,Location2,22,1,777686.7912707173
3511,4,2,Location5,23,0,893828.5740422537
2334,2,3,Location1,90,1,433573.2844120223
2443,3,3,Location5,78,1,608300.3617168096
1088,3,2,Location4,12,2,363803.6895788854
3576,5,3,Location2,114,1,666644.4273701262
2559,4,1,Location2,68,2,559359.4975195819
2263,2,1,Location4,110,2,621862.7820667039
3198,5,2,Location1,51,2,554198.5090992864
2985,5,2,Location2,13,1,636531.0799066776
3519,4,2,Location3,57,1,702854.7012591228
1240,2,3,Location3,55,2,383047.8139775469
2402,4,3,Location1,82,0,429133.7113997897
3120,2,1,Location4,107,0,751199.4666085491
2569,4,3,Location5,28,1,659502.657968161
2798,5,1,Location1,102,2,460574.19002508785
2038,5,3,Location5,105,2,550422.5967108232
3969,1,1,Location1,44,1,648916.9280751933
2234,3,2,Location3,19,0,506001.3351487831
862,4,3,Location4,46,1,273170.4490024648
2387,1,1,Location3,111,1,509950.32789094234
2791,3,3,Location4,107,2,673309.0701070604
2993,4,2,Location5,102,1,718822.100918307
1223,2,1,Location1,110,0,253670.20798202106
1616,3,3,Location2,3,1,340331.93688651547
4243,5,3,Location2,83,2,912329.7033507111
1480,1,2,Location4,20,0,390136.16946681705
2649,3,2,Location4,25,2,666771.2437099444
3544,3,1,Location3,75,1,713352.8097835187
1927,5,3,Location2,56,1,388933.18944002857
2901,4,3,Location3,81,1,671116.0195778055
4323,2,2,Location5,61,2,1040076.3162059895
1052,5,2,Location2,113,1,134700.5730414991
3708,2,1,Location5,55,0,959522.4337937027
1783,4,3,Location1,35,0,391141.25617266266
3662,3,3,Location3,78,2,751274.8704583386
2656,2,1,Location4,59,2,646897.621255235
3904,1,1,Location2,39,2,745894.1954108024
3770,1,2,Location3,57,1,787556.1908188186
2282,5,2,Location4,83,0,504215.4567079678
3463,4,1,Location1,67,0,591967.7804440235
2855,5,1,Location2,34,0,571890.6447386201
1754,5,3,Location5,113,2,567751.4757782221
1003,5,1,Location1,41,2,248660.29911888516
2799,1,1,Location4,22,1,654932.668969899
2701,1,3,Location2,102,2,487887.3138755977
3791,5,1,Location2,27,0,715515.0996529163
2296,1,2,Location1,21,1,462233.579157337
1227,4,2,Location2,41,2,272833.91364826774
1186,5,3,Location4,31,2,352629.35748594184
2248,1,1,Location1,27,0,347764.16671970516
2043,2,2,Location5,37,1,469843.1777154262
2045,5,2,Location1,66,2,360792.6338399253
703,5,2,Location1,54,2,232086.1064818822
853,4,2,Location5,111,1,276976.5202366162
3898,3,1,Location4,9,1,819834.5242320101
3783,3,1,Location3,83,2,883542.5921426474
3157,4,1,Location3,42,2,638723.1926746437
2096,4,1,Location5,36,0,573140.7250833185
698,4,2,Location4,10,1,270798.6233540814
2800,3,3,Location2,59,2,578820.9777310344
2484,4,3,Location5,40,2,573176.1403438904
3561,1,2,Location3,54,2,798711.6030873848
2519,5,2,Location4,109,2,626674.9941640627
1477,5,3,Location1,39,0,358818.241423381
937,2,3,Location4,7,1,354256.92145856
4377,2,2,Location4,4,2,1055574.5112922364
3469,5,2,Location3,15,1,688742.4349193221
3834,1,1,Location3,76,1,727237.5817914461
4391,3,1,Location2,48,2,785877.8734980474
1556,3,3,Location2,6,2,324833.68954728474
2304,1,2,Location5,73,2,656659.926714995
760,3,3,Location1,35,0,145640.07675484612
2203,4,1,Location2,72,2,437328.34220346296
3448,5,1,Location3,71,1,636841.1522076436
997,5,3,Location4,68,1,355608.80141666415
1900,1,1,Location5,58,0,469674.12901037995
1415,3,2,Location2,77,2,371976.545476054
2127,2,3,Location4,19,2,572951.0633859494
2519,2,2,Location4,62,0,495660.91687852313
2015,3,2,Location2,71,0,419249.2643324553
1758,2,1,Location1,10,2,290964.1707732431
1818,1,2,Location1,25,2,361756.41755983775
1000,1,3,Location5,44,1,290904.0296788809
1239,3,2,Location1,99,2,360650.43292139587
3704,2,2,Location5,58,2,1027267.3688738325
3335,1,2,Location3,25,1,676860.9526637692
1059,1,2,Location2,93,1,252106.929708191
1554,4,2,Location4,76,1,296520.1068783624
1069,4,1,Location5,115,1,241955.43569081626
4046,1,3,Location1,111,0,688890.0649970828
1645,3,1,Location5,40,1,449111.70811940625
3397,5,3,Location5,76,0,856066.4510899301
2293,5,3,Location1,116,1,394128.6679977761
2685,1,3,Location1,70,1,493483.198897918
2877,1,3,Location2,10,1,439310.01860127633
4036,1,3,Location4,66,2,865863.0705175461
1162,3,2,Location2,109,0,287570.0484123658
3085,4,1,Location2,25,1,684053.3808042016
2399,1,1,Location1,71,2,423481.1871674465
3954,1,2,Location1,104,0,679111.3932967308
2674,2,3,Location4,87,0,579689.7006185147
825,3,1,Location5,112,2,299813.3221132471
3948,1,2,Location2,11,0,701172.4264431561
1397,2,2,Location4,36,2,481534.0524603899
4280,5,1,Location2,49,1,782288.5920816895
2931,1,1,Location5,48,2,708153.5687287073
3526,1,3,Location2,115,0,688917.7378852923
1559,2,3,Location3,87,0,390414.27472517744
2104,3,1,Location4,107,1,479316.2941435452
1052,1,3,Location1,7,2,269451.2666468039
3667,5,2,Location2,91,1,647004.0913119089
1415,1,3,Location4,77,2,394829.12688034127
1258,5,3,Location4,51,2,410417.75128191337
4187,4,2,Location2,17,2,777477.3426955871
1146,4,3,Location1,32,1,248563.95506919178
1815,5,2,Location1,26,1,334654.40046562447
3720,3,3,Location2,22,0,633702.0546253262
4183,1,1,Location4,13,1,925417.4863002133
616,1,3,Location1,12,2,159200.1274916751
3843,4,1,Location2,71,2,754844.9109680053
1843,5,1,Location2,1,2,402641.99346174364
2805,1,1,Location2,33,1,566208.7853505921
3124,1,1,Location4,116,0,586004.9337375504
1669,3,1,Location1,119,1,258768.03386504218
4044,2,2,Location4,14,0,840500.8302190483
3165,4,2,Location3,111,1,723968.7059340669
2746,4,2,Location1,64,2,524375.7444408563
2368,2,1,Location4,43,0,528976.4310520814
1660,1,3,Location1,58,1,302160.2758429867
2927,3,2,Location3,41,2,664761.0918404802
4020,3,3,Location5,81,0,921534.9940719013
3144,4,3,Location2,68,0,646664.0457496772
901,3,1,Location4,116,2,261281.4144344897
780,2,1,Location3,115,2,288091.20643246535
1206,1,1,Location3,39,1,248232.46310602484
3770,2,2,Location1,1,1,640981.281020355
1299,5,1,Location1,41,2,241983.04519180788
1592,4,2,Location2,45,1,439350.108464602
1739,3,2,Location1,88,2,346332.8946907662
790,5,2,Location4,98,2,224894.6286417529
2900,3,2,Location4,98,1,618206.6912327542
1580,1,1,Location4,88,1,411074.4959624251
3575,1,2,Location5,79,0,743152.6840163171
2606,1,1,Location4,81,0,567222.9805499831
1784,3,1,Location1,13,1,303418.5475128723
3927,5,2,Location1,71,1,669547.7719857456
3994,1,1,Location4,9,1,873488.3049411988
727,5,3,Location3,108,0,225585.58669824668
2665,3,1,Location3,63,1,553320.4300967527
2416,5,1,Location3,99,0,527303.1292551426
2358,3,2,Location2,23,0,560429.1986145829
3213,3,2,Location5,54,0,839952.3013410469
1169,4,1,Location4,47,0,303837.1538791013
1946,3,2,Location2,39,2,456692.81016895897
2495,3,3,Location3,87,1,583172.5815383585
3333,2,3,Location4,26,1,742625.5147208218
4463,1,2,Location2,1,2,828174.5787198362
1225,4,1,Location1,14,1,293945.8045808297
3959,4,3,Location3,96,0,771478.938291268
3501,4,3,Location2,115,2,668155.1780609973
2286,2,1,Location1,112,0,386575.9753637361
3609,3,2,Location3,74,2,739480.001913774
4310,1,3,Location5,65,0,985128.2987147701
754,5,1,Location3,69,1,255893.1810701344
3137,3,1,Location5,67,1,760838.4875639288
2009,2,3,Location5,49,1,570224.8302121712
1384,3,2,Location5,50,2,541246.3805010234
3775,3,3,Location4,58,1,822525.6191885904
4064,2,1,Location4,53,2,902996.4152092459
4482,4,3,Location5,91,0,1078761.0517150394
845,4,2,Location1,115,1,259546.82406850712
3847,1,1,Location5,118,0,896568.7545190719
3710,1,2,Location2,57,1,634683.4615562307
2100,4,3,Location5,86,0,520831.1078745239
2305,5,3,Location4,18,2,599589.7976833975
3406,3,2,Location4,16,1,740231.0614081285
1137,5,3,Location2,2,2,236719.55692659834
2490,3,2,Location2,111,2,460378.7678129645
2441,4,3,Location3,13,0,506659.85248919757
1520,1,2,Location1,45,1,249131.47409103363
3055,1,2,Location1,80,2,659987.6030401385
1124,5,1,Location1,72,0,257724.77154570952
3475,1,1,Location4,43,0,757295.4445088825
2129,4,2,Location1,72,0,440685.29460221954
3550,5,3,Location3,54,1,845938.4603815841
4496,3,3,Location3,74,1,930757.5567644014
635,1,3,Location1,119,0,207847.58690828114
1284,2,2,Location2,97,1,264155.0254030772
619,1,2,Location3,31,0,144440.59312476646
2968,3,2,Location2,76,1,620847.1562096989
4447,5,2,Location4,9,1,1036362.4493478212
3159,3,1,Location3,101,0,680286.219864259
999,2,2,Location2,73,0,242878.2390382417
3301,4,3,Location1,48,1,549412.9811646554
1571,1,1,Location4,18,0,360109.1144844005
2506,5,3,Location5,94,0,702621.5836955279
3118,4,2,Location5,96,0,726708.8600734955
1766,3,1,Location1,104,0,333732.6337680882
1715,5,2,Location4,87,1,408408.2428752632
4025,4,1,Location4,11,2,894499.9993841826
1433,5,3,Location4,62,1,350935.86158011475
2423,2,2,Location4,84,0,551850.9158995062
3374,2,2,Location5,19,0,785071.115568194
2582,1,1,Location2,100,1,404502.5716981504
1453,1,1,Location4,116,0,378580.45856196183
650,2,2,Location2,90,1,216035.73961623746
4336,5,1,Location4,74,2,964182.5453306573
4369,2,2,Location3,24,0,815555.8289813825
1174,1,1,Location3,13,2,247531.10356817485
3861,2,3,Location3,116,2,911204.7146764915
1748,2,1,Location4,46,0,289679.8817989939
2797,5,3,Location2,53,0,505577.6501244097
2961,4,1,Location5,98,1,831825.4879022262
3217,1,1,Location1,29,1,672201.0569426129
4013,5,2,Location5,36,0,1046238.8560750465
2952,2,1,Location4,71,1,688656.4148665557
2315,2,1,Location3,115,2,467919.20352230204
1281,4,3,Location3,94,2,261311.90429973506
1437,1,1,Location2,17,0,323368.4976046464
4454,1,2,Location4,48,1,922989.4435221765
1677,3,3,Location5,77,0,532215.1122196618
3650,1,2,Location4,24,2,725831.262131304
3091,4,2,Location4,54,0,713542.2663494498
3260,3,2,Location3,119,0,710901.2238288752
3640,3,2,Location5,95,0,909673.0564350057
2911,2,3,Location1,91,0,548411.479652021
3724,2,1,Location3,114,2,770527.0628489796
2195,1,2,Location5,85,0,549656.018686969
3651,3,3,Location2,108,0,728157.7627809793
4291,2,2,Location3,119,1,870674.6831815724
604,4,1,Location2,1,0,202869.62029176785
1726,2,3,Location3,79,1,407822.8239830616
1819,2,3,Location4,67,0,430297.79843186995
1373,3,1,Location5,6,1,331825.055859235
1476,3,3,Location2,78,0,268973.1266284341
1591,5,1,Location3,55,1,367299.83825810807
3531,4,3,Location2,38,0,671673.853474687
4021,3,3,Location3,33,0,773843.5299602695
646,1,1,Location3,116,1,131455.8865326958
3514,4,1,Location1,102,0,573629.5864051123
3470,4,3,Location1,8,0,655642.9123396352
3583,3,3,Location1,90,0,506643.8901854212
4491,4,1,Location2,79,0,768370.5397981626
3303,3,1,Location4,78,2,754396.7659365863
868,2,3,Location3,112,0,301646.59248918074
969,5,3,Location5,20,2,464971.55141575786
1235,2,3,Location1,55,2,258540.88210260618
1729,3,1,Location2,48,0,340310.4468231045
2293,3,3,Location2,83,1,463904.18956513534
2282,2,2,Location2,56,1,470693.5247762116
1256,1,1,Location5,97,0,332018.9935278311
719,1,3,Location5,100,2,268817.76431418624
1430,1,1,Location1,88,1,207122.15383646553
2410,3,2,Location5,10,0,531920.4149270833
4275,4,1,Location1,52,0,747775.5100028197
1681,3,3,Location5,50,2,477770.92497624597
2574,4,2,Location5,34,1,705303.5136642291
1969,2,2,Location5,36,0,522230.798857174
1340,5,3,Location1,111,1,220027.73894485983
4145,4,3,Location3,61,0,924177.1531438044
716,1,3,Location1,100,0,172967.87542304242
2453,3,1,Location3,16,0,488273.61539959227
3438,2,1,Location2,79,2,621431.9591448825
1750,1,1,Location2,18,2,311606.6212442903
4064,2,3,Location1,71,2,714715.4599961643
2531,5,3,Location3,47,1,568052.7465724447
1612,3,1,Location3,86,2,484306.9526409426
2264,3,2,Location3,32,2,542908.8977584777
1681,5,1,Location2,43,1,468590.87063970853
1233,3,2,Location1,83,1,213927.07287852268
1112,4,3,Location4,40,1,322759.61475113867
4422,2,3,Location3,65,1,937905.6700228202
3449,1,1,Location3,35,2,738825.473529784
1719,5,1,Location4,69,2,451059.5821324732
4309,4,3,Location1,50,1,685526.0626814339
